rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1675249911482254030,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249911572687761,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249911672210393,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249911772036309,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249911862271563,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249911962294925,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912062318633,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912182324004,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912282340267,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912372019855,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912472315959,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912572137836,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912662574112,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912762222678,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912862109566,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249912982546878,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913072498098,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913172162691,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913272574110,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913372024059,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913462529538,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913562153980,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913682628708,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913782226361,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913872324542,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249913972200678,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914072225559,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914162052923,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914262258416,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914362110217,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914482728668,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914582428331,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914672340964,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914772996661,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914872274468,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249914962318341,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915062193978,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915182209220,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915282525087,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915371990736,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915472530887,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915572203469,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915662429981,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915762185067,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915862272272,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249915982737449,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249916082424010,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249916172052789,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249916272275229,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249916372245516,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249916462244486,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249916562266876,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249916662402488,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
1675249916782553529,,7.60212681269,-0.496332739179,0.0,,0.0,0.0,0.713673524357,0.700478479778
