rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1675248817178718312,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248817278808325,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248817399267851,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248817498914076,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248817588969959,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248817689365340,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248817789012150,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248817879803464,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248817978657039,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818079052433,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818199035462,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818289474494,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818389134180,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818488972705,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818579383291,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818678900944,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818778779511,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818898894838,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248818999212279,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819089229900,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819188941249,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819289225290,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819379520357,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819479132551,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819579066065,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819699160870,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819789105587,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819889125205,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248819988852191,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248820088894986,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248820178740895,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
1675248820279043021,,10.300939917,-0.421446448698,0.0,,0.0,0.0,0.726253821684,0.687426640805
